Parsing Tree (Table Representation):
Index | Value         | Father | Sibling
------+---------------+--------+--------
    0 | program       |     -1 |     -1
    1 | 29            |      0 |      2
    2 | dec_list      |     -1 |     14
    3 | declaration   |      2 |      9
    4 | type          |      3 |      7
    5 | type_1        |      4 |     -1
    6 | 43            |      5 |     -1
    7 | id_list       |     -1 |     -1
    8 | 0             |      7 |      9
    9 | 25            |     -1 |     10
   10 | id_list       |     -1 |     -1
   11 | 0             |     10 |     12
   12 | 25            |     -1 |     13
   13 | id_list       |     -1 |     -1
   14 | 0             |     13 |     15
   15 | 24            |     -1 |     -1
   16 | dec_list      |     -1 |     -1
   17 | declaration   |     16 |     33
   18 | type          |     17 |     26
   19 | vector_decl   |     18 |     -1
   20 | type_1        |     19 |     22
   21 | 43            |     20 |     -1
   22 | 45            |     -1 |     23
   23 | 19            |     -1 |     24
   24 | 1             |     -1 |     25
   25 | 20            |     -1 |     -1
   26 | id_list       |     -1 |     -1
   27 | 0             |     26 |     -1
   28 | 24            |     -1 |     -1
   29 | stmt_list     |     -1 |     -1
   30 | stmt          |     29 |     40
   31 | simple_stmt   |     30 |     36
   32 | io_stmt       |     31 |     -1
   33 | 41            |     32 |     34
   34 | id_list       |     -1 |     -1
   35 | 0             |     34 |     -1
   36 | 24            |     -1 |     -1
   37 | stmt_list     |     -1 |     -1
   38 | stmt          |     37 |     52
   39 | simple_stmt   |     38 |     46
   40 | assignmnt     |     39 |     -1
   41 | 0             |     40 |     42
   42 | 6             |     -1 |     43
   43 | expression    |     -1 |     -1
   44 | term          |     43 |     -1
   45 | 1             |     44 |     -1
   46 | 24            |     -1 |     -1
   47 | stmt_list     |     -1 |     -1
   48 | stmt          |     47 |     84
   49 | struct_stmt   |     48 |     -1
   50 | for_stmt      |     49 |     -1
   51 | 34            |     50 |     52
   52 | 0             |     -1 |     53
   53 | 35            |     -1 |     54
   54 | 1             |     -1 |     55
   55 | 36            |     -1 |     56
   56 | 0             |     -1 |     57
   57 | 23            |     -1 |     58
   58 | stmt_list     |     -1 |     74
   59 | stmt          |     58 |     69
   60 | simple_stmt   |     59 |     65
   61 | io_stmt       |     60 |     -1
   62 | 41            |     61 |     63
   63 | id_list       |     -1 |     -1
   64 | 0             |     63 |     -1
   65 | 24            |     -1 |     -1
   66 | stmt_list     |     -1 |     -1
   67 | stmt          |     66 |     85
   68 | simple_stmt   |     67 |     77
   69 | assignmnt     |     68 |     -1
   70 | elem_vector   |     69 |     75
   71 | 0             |     70 |     72
   72 | 19            |     -1 |     73
   73 | 0             |     -1 |     74
   74 | 20            |     -1 |     -1
   75 | 6             |     -1 |     76
   76 | expression    |     -1 |     -1
   77 | term          |     76 |     -1
   78 | 0             |     77 |     -1
   79 | 24            |     -1 |     -1
   80 | stmt_list     |     -1 |     -1
   81 | stmt          |     80 |     -1
   82 | simple_stmt   |     81 |     92
   83 | assignmnt     |     82 |     -1
   84 | 0             |     83 |     85
   85 | 6             |     -1 |     86
   86 | expression    |     -1 |     -1
   87 | term          |     86 |     89
   88 | 0             |     87 |     -1
   89 | operation     |     -1 |     91
   90 | 2             |     89 |     -1
   91 | expression    |     -1 |     -1
   92 | term          |     91 |     -1
   93 | 0             |     92 |     -1
   94 | 24            |     -1 |     -1
   95 | 38            |     -1 |     -1
   96 | stmt_list     |     -1 |     -1
   97 | stmt          |     96 |     -1
   98 | simple_stmt   |     97 |    103
   99 | io_stmt       |     98 |     -1
  100 | 42            |     99 |    101
  101 | id_list       |     -1 |     -1
  102 | 0             |    101 |     -1
  103 | 24            |     -1 |     -1
  104 | 30            |     -1 |     -1
  105 | program       |     -1 |     -1
  106 | 29            |     -1 |     -1
  107 | dec_list      |     -1 |     -1
  108 | declaration   |     -1 |     -1
  109 | type          |     -1 |     -1
  110 | type_1        |     -1 |     -1
  111 | 43            |     -1 |     -1
  112 | id_list       |     -1 |     -1
  113 | 0             |     -1 |     -1
  114 | 25            |     -1 |     -1
  115 | id_list       |     -1 |     -1
  116 | 0             |     -1 |     -1
  117 | 25            |     -1 |     -1
  118 | id_list       |     -1 |     -1
  119 | 0             |     -1 |     -1
  120 | 24            |     -1 |     -1
  121 | dec_list      |     -1 |     -1
  122 | declaration   |     -1 |     -1
  123 | type          |     -1 |     -1
  124 | vector_decl   |     -1 |     -1
  125 | type_1        |     -1 |     -1
  126 | 43            |     -1 |     -1
  127 | 45            |     -1 |     -1
  128 | 19            |     -1 |     -1
  129 | 1             |     -1 |     -1
  130 | 20            |     -1 |     -1
  131 | id_list       |     -1 |     -1
  132 | 0             |     -1 |     -1
  133 | 24            |     -1 |     -1
  134 | stmt_list     |     -1 |     -1
  135 | stmt          |     -1 |     -1
  136 | simple_stmt   |     -1 |     -1
  137 | io_stmt       |     -1 |     -1
  138 | 41            |     -1 |     -1
  139 | id_list       |     -1 |     -1
  140 | 0             |     -1 |     -1
  141 | 24            |     -1 |     -1
  142 | stmt_list     |     -1 |     -1
  143 | stmt          |     -1 |     -1
  144 | simple_stmt   |     -1 |     -1
  145 | assignmnt     |     -1 |     -1
  146 | 0             |     -1 |     -1
  147 | 6             |     -1 |     -1
  148 | expression    |     -1 |     -1
  149 | term          |     -1 |     -1
  150 | 1             |     -1 |     -1
  151 | 24            |     -1 |     -1
  152 | stmt_list     |     -1 |     -1
  153 | stmt          |     -1 |     -1
  154 | struct_stmt   |     -1 |     -1
  155 | for_stmt      |     -1 |     -1
  156 | 34            |     -1 |     -1
  157 | 0             |     -1 |     -1
  158 | 35            |     -1 |     -1
  159 | 1             |     -1 |     -1
  160 | 36            |     -1 |     -1
  161 | 0             |     -1 |     -1
  162 | 23            |     -1 |     -1
  163 | stmt_list     |     -1 |     -1
  164 | stmt          |     -1 |     -1
  165 | simple_stmt   |     -1 |     -1
  166 | io_stmt       |     -1 |     -1
  167 | 41            |     -1 |     -1
  168 | id_list       |     -1 |     -1
  169 | 0             |     -1 |     -1
  170 | 24            |     -1 |     -1
  171 | stmt_list     |     -1 |     -1
  172 | stmt          |     -1 |     -1
  173 | simple_stmt   |     -1 |     -1
  174 | assignmnt     |     -1 |     -1
  175 | elem_vector   |     -1 |     -1
  176 | 0             |     -1 |     -1
  177 | 19            |     -1 |     -1
  178 | 0             |     -1 |     -1
  179 | 20            |     -1 |     -1
  180 | 6             |     -1 |     -1
